CAS,NOMBRE QUIMICO,FORMULA QUIMICA,OTROS NOMBRES
66063-05-6,"Urea, N-[(4-clorofenil) metil]-N-ciclopentilo-N '-fenil -",C19 H21 Cl N2 O,No tiene; NTN 19701; Pencycuron;Monceraen 250SC; Monceren;Pencycuron (fenil urea)
66070-58-4,"Benceno, etenil-, polímero con 1,3-butadieno, hidrogenado",(C8H8.C4H6)x,No tiene;Estireno isopreno estireno
66070-62-0,"Ácidos grasos, aceite largo, polímero con  glicerol, pentaeritritol y anhídrido ftálico",(C8H4O3.C5H12O4.C3H8O3. No especificado)x,No tiene;Phthalic anhydride-glycerin-pentaerythritol-tall oil fatty acid polymer;RESINA ACKIDALINA
66070-77-7,"Ácidos grasos, aceite de ricino deshidratado, polímero con bisfenol a y epiclorhidrina",(C15H16O2.C3H5ClO. No especificado)x,"No tiene;1-Acetil-4-(4-((2-(2,4-diclorofenil)(1H-imidazol-1-ilmetil)-1,3-dioxolan-4-il)metoxi) fenil)piperazina (Ketoconazol)."
66070-93-7,"Aceite de soya, polímero con  glicerol, pentaeritritol y anhídrido ftálico",(C8H4O3.C5H12O4.C3H8O3. No especificado)x,"No tiene;Phthalic anhydride-glycerin-pentaerythritol-soybean oil polymer;Aceite de soya, polimero"
66071-94-1,"Líquidos industriales, alicor de cocimiento de maiz",Fórmula química no especificada,No tiene; Maize  steep liquor; Zea mays  steep liquor;Corn steep liquor; Steep liquor corn; Corn steep water;Agua de cocimiento de maiz
66085-59-4,"Ácido 3,5-piridinedicarboxilico, 1,4-dihidro-2 ,6-dimetil-4-(3-nitrofenil) -, 3 û (2-metoxietil) 5 û (1-metiletil) éster",C21 H26 N2 O7,"ácido 3,5-piridinedicarboxilic, 1,4-dihidro-2 ,6-dimetil-4-(3-nitrofenil) -, 2-1-metil-methoxietil éster (9CI);á(+-)-Nimodipina;áAdmon;áBAY-e 9736;áNimodipino;áNimodipina AP;áNimotop;áPeriplum;Nimodipino"
66215-27-8,"1,3,5-triazina-2 ,4,6-triamina, N2-ciclopropil -",C6 H10 N6,"1,3,5-triazina-2,4,6-triamina, N-ciclopropil-;  2,4-Diamino-6-(ciclopropilamino)-s-triazina;  2-ciclopropilamino-4,6-diamino-s-triazina; 2-Cyclopropylamino-4 6-diamino-s-triazine; CGA 72662; Citation; Cyclopropylmelamine; Cyromazine; Larvadex; N-Cyclopropyl-1 3 5-triazine-2 4 6-triamine; Neporex; Patron; Trigard; Vetrazin; Vetrazin (pesticide); Vetrazin Liquid; Vetrazine;135-Triazine-246-triamine N-cyclopropyl- (9CI); 24-Diamino-6-(cyclopropylamino)-s-triazine;Cyromazina (triazina)"
66230-04-4,"Ácido bencenoacetico, 4-cloro-alfa- (1-metiletil) -, (S)-ciano (3-fenoxifenil) metil éster, (alfa S) -",C25 H22 Cl N O3,"Ácido Benzeneacetico, 4-cloro-.alfa.-(1-metiletil)-,ciano(3-fenoxi) éster metílico,[S-(R *, R *)]-;  (S)-.alfa.-ciano-3-fenoxibencilo (S)-2 -(4-clorofenil) isovalerianato; (S S)-Fenvalerate; 1S 1'S-Fenvalerate; Asana; Asana XL; Aalpha; Esfenvalerate; Fenvalerate Aalpha; Fenvalerate alpha; OMS 3023; S 1844; S 5602Aalpha; Sumi-Gold; Sumi-alfa; Sumi-alpha; Sumicidin Aalpha; Sumidan; alpha -Sum;Benzeneacetic acid 4-chloro-alpha -(1-methylethyl)- cyano(3-phenoxyphenyl)methyl ester [S-(R*R*)]-; (S)-alpha -Cyano-3-phenoxybenzyl (S)-2-(4-chlorophenyl)isovalerate;Esfenvalerato (piretroide)"
66241-11-0,C.i. Leuco azufre negro 1,Fórmula química no especificada,Leuco azufre Negro 1; Diresul Black RDT 4D; Diresul Liquid Black RDT; Diresul Liquid Black RDT 2KS; Diresul Liquid Black RDT-LS; Diresul Liquid Black RL 200; Immedial Black C-BR; Leuco Sulphur Black 1; Phenol 2 4-dinitro-  sulfurized  leuco derivs.; Sandozol Black 4G-RDT; Sodyesul Black 4GCF; Sulphol Liquid Black QG;C.I. 53185; Diresul Black RDT 2KS;Negro al sulfuro 1
66246-88-6,"1H-1 ,2,4-triazol, 1 - [2 - (2,4-diclorofenil) pentil]-",C13 H15 Cl2 N3,(+-)- Penconazol;  Penconazol; Ofir; Omnex; Omnex WP 10; Penconazole; Pine gel; Regal gel; Topas; Topas (fungicide); Topaze;(+-)-Penconazole; CGA 71818;Penconazole (triazol)
66332-96-5,"Benzamida, N-[3 - (1-metiletoxi) fenil] -2 - (trifluorometil) -",C17 H16 F3 N O2,3'-Isopropoxi-2-trifluorometilbenzanilida; Flutolanilo; Moncut; ProStar;3''''-Isopropoxy-2-trifluoromethylbenzanilide; Flutolanil;Flutolanil (benzanilida)
66356-53-4,"2-Furanmetanoamina, 5 - [[(2-aminoetil) tio] metil]-N, N-dimetil-",C10 H18 N2 O S,No tiene;2 5 DIMETIL AMINO METILFURANIL
66357-35-5,"1,1-Etanodiamino, N-[2 - [[[5 - [(dimetilamino) metil]-2-furanil]metil] tio] etil]-N'-metil-2-nitro-",C13 H22 N4 O3 S,Midaven;Ranitidina;áZenetac;N 2 5 dimetilamino metil 2 furanil metil tio  etil N metil 2 nitro 1 etendiamino
66357-59-3,"1,1-Etanodiamino, N'-[2 - [[[5 - [(dimetilamino) metil]-2-furanil] metil] tio] etil]-N-metil-2-nitro-,clorhidrato de (1:1)",C13 H22 N4 O3 S . Cl H,"-1,1-Ethenediamino, N-[2 - [[[5 - [(dimetilamino) metil] metil]-2-furanil] tio] etil]-N 'metil-2-nitro-, monoclorhidrato (9CI);áAH 19065;áAchedos;áAcidex;áAciloc;áAcloral;áAldin;áAnistal;áAntagonin;áApo-Ranitidina;áApozan;áAtural;áAxoban;áAzantac;áSeguido"
66402-68-4,"Materiales cerámicos y mercancías, químicos",Fórmula química no especificada,No tiene;Engobe mge 20153
66441-23-4,"Ácido propanoico, 2 - [4 - [(6-cloro-2-benzoxazolil) oxi] fenoxi] -, etil éster",C18 H16 Cl N O5,"Ácido propanoico, 2-[4-[(6-cloro-2-benzoxazolil) oxi] fenoxi]-, éster etílico,(+-)-; (+-)--Fenoxaprop etílico; Acclaim; Acclaim (herbicide); Ethyl 2-[4-(6-chlorobenzoxazolyl-2-oxy)phenoxy]propionate; Fenoxaprop ethyl ester; Fenoxaprop-ethyl; Furore; HOE 33171; HOE-A 25-01; Puma; Puma (herbicide); Puma S; Whip;Propanoic acid 2-[4-[(6-chloro-2-benzoxazolyl)oxy]phenoxy]- ethyl ester (+-)-; (+-)-Fenoxaprop-ethyl;Fenoxaprop etil (benzoxazole)"
66455-26-3,"Los fertilizantes,nitrógeno-fósforo-potasio",Fórmula química no especificada,"Ápice;áBasfoliar 12-4-6;áAdemás Bayfolan;áDamisol;áDiamónico nitrógeno-fósforo-potasio en los abonos;áEkitanekisu;áFerticare;áFertilizantes, NPK;áFertilizantes, diamónico nitrógeno-fósforo-potasio;áLos productores;áHaileaf;áKlinoFert NPK;áKristallon 18-18-18;áKumiai Rinkaan Fukugou 42;áLebosol-Kali-Plus;áMasterblend;áN-P-K fertilizantes;áNPK;áNPK 1;Nitrógeno-fosfato-potasio fertilizantes;Nitrógeno-fósforo-potasio en los abonos;áNitrofoska;áNutra Verde;áNutricote;áNutrifite P (4-30-8);áNutrisan (fertilizante);áOsmocote;áAdemás Osmocote;áAdemás K-P;áPolifoska;áPolyfeed;áUn Rin-Kari-;áVerdes Super Ringer;áRinger césped Restaurar;áTurf Ringer Restaurar;áTamakasei S;áZeomix NPK;NPK"
66455-31-0,Polioximetilenos,Fórmula química no especificada,"formaldehído, homopolímero;  Poli (óxido de metileno);  poliformaldehido ; Debrin; Duracon White; Formaldehyde  homopolymer; Metaformaldehyde; Plastics  polyacetals; Plastics  polyoxyalkylenes; Poly(methylene oxide); Polyacetals; Polyformaldehyde A; Polyformals; Polyoxyalkylenes  polyoxymethylenes; Polyoxymethylene ethers; Trioxymethylene polymers;Acetal resins; Bolrin; Celcon;Delrin"
66467-44-5,"Niquel, (2-etil-1-hexanamina)[[2,2'-(tio-?s)bis[4-(1,1,3,3-tetrametilbutil)fenolato-?o]](2-)]-",C36 H59 N Ni O2 S,Nickel  (2-ethyl-1-hexanamine)[[2 2'-thiobis[4-(1 1 3 3-tetramethylbutyl)phenolato]](2-)-O O' S]-;1-Hexanamine  2-ethyl-  nickel complex;Phenol 2 2'-thiobis[4-(1 1 3 3-tetramethylbutyl)-  nickel complex;Seesorb 612NH;[2 2'-Thiobis(4-tert-octylphenolate)]-2-ethylhexylaminenickel(II);Nulo
665-66-7,"Triciclo [3.3.1.13,7] decan-1-amina, clorhidrato (1:1)",C10H17N.ClH,"1-adamantanamina, clorhidrato;  1-clorhidrato de Aminoadamantano;1-Adamantanamine  hydrochloride (8CI);Adamantanamine hydrochloride (6CI);Tricyclo[3.3.1.13 7]decan-1-amine  hydrochloride (9CI);1-Adamantamine hydrochloride;1-Adamantylamine hydrochloride;1-Aminoadamantane hydrochloride;Adamantylamine hydrochloride;Adamin;Adamine;Amantadine hydrochloride;Amazolon;Aminoadamantane hydrochloride;EXP 105-1;Mantadan;Mantadine;Mantadix;Midantan;Midantane;Mydantane;NSC 83653;Symadine;Symmetrel;Virasol;Virofral; 1-Adamantamine hydrochloride; 1-Adamantylamine hydrochloride; 1-Aminoadamantane hydrochloride; Adamantylamine hydrochloride; Adamin; Adamine; Amantadine hydrochloride; Amazolon; Aminoadamantane hydrochloride; EXP 105-1; Mantadan; Mantadine; Mantadix; Midantan; Midantane; Mydantane; NSC 83653; Symadine; Symmetrel; Virasol; Virofral;1-Adamantanamine hydrochloride (8CI); Adamantanamine hydrochloride (6CI); Tricyclo[3.3.1.137]decan-1-amine hydrochloride (9CI);Clohidrato de amantadina"
66576-71-4,"Ácido butanóico, 2-metil-, 1-metiletil éster",C8 H16 O2,2-Methylbutanoic acid 1-methylethyl ester;Isopropyl 2-methylbutanoate;Isopropyl 2-methylbutyrate;Nulo
6658-48-6,"Bencenpropanal, ?-metil-4-(2-metilpropil)-",C14 H20 O,Silvial;Nulo
667-83-4,"Butanamida, N-(3-etoxipropil) -2,4-dihidroxi-3 ,3-dimetil-, (2R) - ",C11 H23 N O4,"Butanamida, N-(3-ethoxipropil) -2,4-dihidroxi-3 ,3-dimetil-, (R) -;áButiramide, N-(3-ethoxipropil) -2,4-dihidroxi-3 ,3-dimetil-, D-(+) - (8CI);á(+)-Pantothenil éter etílico;áD-Pantothenil éter etílico;áEtil pantenol;áPantothenil éter etílico;áPantil;áProvitamina B3;ád-etil éter Pantothenil;Etil pantenol"
6674-22-2,"Pirimido[1,2-a]azepina, 2,3,4,6,7,8,9,10-octahidro-",C9 H16 N2,1 8-Diaza-7-bicyclo[5.4.0]undecene;1 8-Diazabicyclo[5.4.0]undec-7-ene;1 8-Diazabicyclo[5.4.0]undeca-7-ene;1 8-Diazabicyclo[5.4.0]undecene-7;2 3 4 6 7 8 9 10-Octahydropyrimido[1 2-a]azepine;Alcanpoudre DBU 70-3KG;Amicure DBUE;DBU;Dabco DBU;Lupragen N 700;NSC 111184;NSC 230466;Polycat DBU;U-CAT SA 851;Nulo
66778-08-3,"Ácido fosfórico, monofenil éster, sal de disodio, dihidrato (9ci)",C6 H7 O4 P . 2 H2 O . 2 Na,Nulo;Nulo
66828-18-0,Emdex,Fórmula química no especificada,Dextrate;Dextratos Hidratados (Emdex)
6683-19-8,"Ácido bencenopropanoico, 3,5-bis (1,1-dimetiletil)-4-hidroxi-, 1,1 '- [2,2-bis [[3 - [3,5-bis (1,1-dimetiletil) - 4-hidroxifenil]-1-oxopropoxi] metil] -1,3-propanodiil] éster",C73H108O12,"Ácido bencenopropanoico, 3,5-bis (1,1-dimetiletil)-4-hidroxi-, 2,2-bis [[3 - [3,5-bis (1,1-dimetiletil)-4-hidroxifenil] -1 -oxopropoxi] metil] -1,3-éster propanodiilimino;  ácido hidrocinámico, 3,5-di-terc-butil-4-hidroxi-, éster neopentanotetrayl ; Pentaerythritol  tetrakis(3 5-di-tert-butyl-4-hydroxyhydrocinnamate) (8CI); A 1010; A 1010 (antioxidant); A0 60; ADK Stab AO 60; AO 1; AO 1010; AO 60; AT 10; AT 10 (antioxidant); Anox 20; Anox 20AM; Antiox 10; Antioxidant 1010; Arenox A 10; BC 1010; BP 101; Carbyltetramethylene tetrakis(3 5-di-tert-butyl-4-hydroxyhydrocinnamate); Chinox 1010; Cyanox 2110; Dovernox 10;Ethanox 310;Evernox 10;Fenozan 22;Fenozan 23;Fero NF 130;Hostanox O 10;IR 1010;IX 1010;Irganox 101;Irganox 1010;Irganox 1010FF;Irganox 1010FP;Irganox 1040;Benzenepropanoic acid35-bis(11-dimethylethyl)-4-hydroxy-22-bis[[3-[35-bis(11-dimethylethyl)-4-hydroxyphenyl]-1-oxopropoxy]methyl]-13-propanediyl ester (9CI); Hydrocinnamic acid35-di-tert-butyl-4-hydroxy- neopentanetetrayl ester (8CI); Hydrocinnamic ;PENTAERITRITOL TETRAKIS PROPIA"
66841-25-6,"Ácido ciclopropanocarboxílico, 2,2-dimetil-3-(1,2,2,2-tetrabromoetil) -, ciano (3-fenoxifenil) metil éster",C22 H19 Br4 N O3,No tiene; RU 25472; SAGA; Scout; Scout X-tra; Tracker; Tralomethrin;Bengal Fire Ant Killer; HAG 107;Tralometrina (piretroide)
67-03-8,"Tiazolio, 3 - [(4-amino-2-metil-5-pirimidinil) metil] -5 - (2-hidroxietil)-4-metil-cloruro (1:1), clorhidrato (1:1)",C12H17N4OS.ClH.Cl,"Tiamina, monohidrocloruro; tiazolium, 3 - [(4-amino-2-metil-5-pirimidinil) metil] -5 - (2-hidroxietil)-4-metil-cloro, monohidrocloruro;Thiamine  monohydrochloride (8CI);Thiazolium  3-[(4-amino-2-methyl-5-pyrimidinyl)methyl]-5-(2-hydroxyethyl)-4-methyl- chloride  monohydrochloride (9CI);Aneurine hydrochloride;Apate drops;Beatine;Bedome;Begiolan;Benerva;Bequin;Berin;Betabion;Betalin S;Betaxin;Bethiazine;Beuion;Bevitine;Bewon;Biamine;Biuno;Bivatin;Bivita;Clotiamina;Eskapen;Eskaphen;Lixa-Beta;Metabolin;Slowten;THD;Thiadoxine;Thiamin chloride;Thiamin dichloride;Thiamin hydrochloride;Thiaminal;Thiamine chloride;Thiamine chloride hydrochloride;Thiamine dichloride;Thiamine hydrochloride;Thiaminium chloride;Thiaminium chloride hydrochloride;Thiamol;Thiavit;Tiamidon;Tiaminal;Trophite;Vetalin S;Vinothiam;Vitamin B1 hydrochloride;Vitaneuron; Aneurine hydrochloride; Apate drops; Beatine; Bedome; Begiolan; Benerva; Bequin; Berin; Betabion; Betalin S; Betaxin; Bethiazine; Beuion; Bevitine; Bewon; Biamine; Biuno; Bivatin; Bi;TIAMINA CLORHIDRATO"
67-20-9,"2,4-imidazolidinadiona, 1 - [[(5-nitro-2-furanil) metilen] amino] -",C8H6N4O5,"Hidantoína, 1 - [(5-nitrofurfurylideno) amino] - , 1 - (5-Nitro-2-furfurylidenamino) hidantoína; 1 - (5-Nitro-2-furfurylidenoamino) hidantoína; 1-[(5-Nitrofurfurylidene)amino]hydantoin; 5-Nitrofurantoin; Berkfurin; Chemiofuran; Cyantin; Cystit; FuaMed; Fur-ren; Furachel; Furadantin; Furadantine MC; Furadantoin; Furadoin; Furadoine; Furadonin; Furadonine; Furadontin; Furalan; Furantoin; Furantoina; Furatoin;Furina;Furobactina;Furophen T-Caps;Ituran;Macrobid;Macrodantin;Macrofuran;N-(5-Nitro-2-furfurylidene)-1-aminohydantoin;N-(5-Nitro-2-furfurylidine)-1-aminohydantoin;N-(5-Nitrofurfurylidene)-1-aminohydantoin;NSC 2107;NSC 44150;Nifurantin;Hydantoin 1-[(5-nitrofurfurylidene)amino]- (7CI8CI); 1-(5-Nitro-2-furfurylidenamino)hydantoin; 1-(5-Nitro-2-furfurylideneamino)hydantoin;1 5 nitro 2 furfurildiaminohidantoina"
67-43-6,"Glicina, n, n-bis [2 - [bis (carboximetil) amino] etil] -",C14H23N3O10,"1,1,4,7,7-ácido dietilentriaminopentaacético; 3,6,9-ácido Triazaundecanodioico;1 1 4 7 7-Diethylenetriaminepentaacetic acid;3 6 9-Triazaundecanedioic acid 3 6 9-tris(carboxymethyl)-;Acetic acid 2 2' 2'' 2'''-[[(carboxymethyl)imino]bis(2 1-ethanediylnitrilo)]tetrakis-;Chel 330 acid;Chel DTPA;Clewat DA;Complexon V;DETP;DETPA;DPTA;DTPA;Dabeersen 503;Detapac;Detarex;Diethylenetriamine-N N N' N'' N''-pentaacetic acid;Diethylenetriaminepentaacetic acid;Diáolvine D;Hamp-Ex Acid;Monaquest CAI;N N-Bis[2-[bis(carboxymethyl)amino]ethyl]glycine;NSC 7340;Pentacarboxymethyl diethylenetriamine;Pentetic acid;Titriplex V;[[(Carboxymethyl)imino]bis(ethylenenitrilo)]tetraacetic acid; Chel 330 acid; Chel DTPA; Clewat DA; Complexon V; DETP; DETPA; DPTA; DTPA; Dabeersen 503; Detapac; Detarex; Diethylenetriamine-N N N' N'' N''-pentaacetic acid; Diethylenetriaminepentaacetic acid; Diáolvine D; Hamp-Ex Acid; Monaquest CAI; N N-Bis[2-[bis(carboxymethyl)amino]ethyl]glycine; NSC 7340; Pentacarboxymethyl diethylenetriamine; Pentetic ac;Sal Pentasódica del ácido Detilen triamino pentacético"
67-45-8,"2-oxazolidinona, 3 - [[(5-nitro-2-furanil) metileno] amino] -",C8H7N3O5,"2-oxazolidinone, 3 - [(5-nitrofurfurylideno) amino]; 3 - (5-Nitro-ACI-2 (5H)-furylidenometilimino)-2-hidróxido de oxooxazolidinium, sal interna; 3-[(5-Nitrofurfurylidene)amino]-2-oxazolidinone; Diafuron; Furaxon; Furaxone; Furazol; Furazolidon; Furazolidone; Furazon; Furidon; Furovag; Furox; Furoxal; Furoxane; Furoxon; Furoxone; Furoxone Swine Mix; Furozolidine; Giardil; Giarlam; Medaron; N-(5-Nitro-2-furfurylidene)-3-amino-2-oxazolidone;NF 180;NSC 6469;Neftin;Nicolen;Nifulidone;Nitrofurazolidone;Nitrofuroxon;Optazol;Ortazol;Puradin;Roptazol;Tikofuran;Trifurox;2-Oxazolidinone 3-[(5-nitrofurfurylidene)amino]- (8CI); 3-(5-aci-Nitro-2(5H)-furylidenemethylimino)-2-oxooxazolidinium hydroxide inner salt (6CI); 2-Furanmethanimine 5-nitro-N-(2-oxo-3-oxazolidinyl)-;Furoxona"
67-48-1,"Etanamino, 2-hidroxi-n, n, n-trimetil-, cloruro (1:1)",C5H14NO.Cl,"Colina, cloruro;  (2-hidroxietil) trimetilamonio; (beta -Hydroxyethyl)trimethylammonium chloride; Actiron CC 6; Bilineurin chloride; Biocolina; Biocoline; COL 24; Choline chloride; Cholinium chloride; Hepacholine; Hormocline; Lipotril; Luridin chloride; Neocolina; Norcol 25; Paresan; Trimethyl(2-hydroxyethyl)ammonium chloride;Choline chloride (8CI); Ethanaminium 2-hydroxy-NNN-trimethyl- chloride (9CI); (2-Hydroxyethyl)trimethylammonium chloride;Cloruro de Colina"
67-52-7,"2,4,6 (1h, 3h, 5h)-pirimidinotriona",C4H4N2O3,"Ácido barbitúrico; 1,2,3,4,5,6-hexahidro-2 ,4,6-pirimidinetrione; 2,4,6-pirimidinetriol;Barbituric acid (8CI);1 2 3 4 5 6-Hexahydro-2 4 6-pyrimidinetrione;2 4 6-Pyrimidinetriol;2 4 6-Pyrimidinetrione;2 4 6-Trihydroxypyrimidine;2 4 6-Trioxohexahydropyrimidine;6-Hydroxyuracil;Hexahydropyrimidine-2 4 6-trione;Malonylurea;NSC 7889;Pyrimidinetrione;Urea  N N'-(1 3-dioxo-1 3-propanediyl)-; 2 4 6-Pyrimidinetrione; 2 4 6-Trihydroxypyrimidine; 2 4 6-Trioxohexahydropyrimidine; 6-Hydroxyuracil; Hexahydropyrimidine-2 4 6-trione; Malonylurea; NSC 7889; Pyrimidinetrione; Urea  N N'-(1 3-dioxo-1 3-propanediyl)-;Barbituric acid (8CI); 123456-Hexahydro-246-pyrimidinetrione; 246-Pyrimidinetriol;ACIDO BARBITURICO"
67-56-1,Metanol,CH4O,"Carbinol;  alcohol metílico, hidróxido de metilo; metilol;  alcohol de madera; Methyl alcohol; Methyl hydroxide; Methylol; Monohydroxymethane; NSC 85232; Solutions  Bieleski's; Wood alcohol;Bieleski''''s solution; Carbinol; Methanol cluster;Alcohol metílico (metanol)"
67-63-0,2-propanol,C3H8O,Alcohol isopropílico ; 1-Metiletanol; 1-metiletil alcohol; 2-hidroxipropanol; alcohol 2-propilo;Isopropyl alcohol (8CI);1-Methylethanol;1-Methylethyl alcohol;2-Hydroxypropane;2-Propyl alcohol;Alcojel;Alcosolve 2;Autosept;Avantin;Avantine;Combi-Schutz;Dimethylcarbinol;Hartosol;IPA;IPS 1;IPS 1 (alcohol);Imsol A;Isohol;Isopropanol;Lutosol;NSC 135801;PRO;Petrohol;Propol;Steri-Fab;Sterisol Hand Disinfectant;Takineocol;Tokuso IPA;Virahol;iso-Propanol;iso-Propyl alcohol;n-Propan-2-ol;sec-Propanol;sec-Propyl alcohol; 2-Hydroxypropane; 2-Propyl alcohol; Alcojel; Alcosolve 2; Autosept; Avantin; Avantine; Combi-Schutz; Dimethylcarbinol; Hartosol; IPA; IPS 1; IPS 1 (alcohol); Imsol A; Isohol; Isopropanol; Lutosol; NSC 135801; PRO; Petrohol; Propol;Steri-Fab;Sterisol Hand Disinfectant;Takineocol;Tokuso IPA;Virahol;iso-Propanol;iso-Propyl alcohol;n-Propan-2-ol;sec-Propanol;sec-Propyl alcohol;Isopropyl alcohol (8CI); 1-Methylethanol; 1-Methylethyl alcohol;Alcohol isopropílico
67-64-1,2-propanona,C3H6O,Acetona ; Metiletilcetona ; dimetil cetona; Dimetilformaldehido;propanona;Acetone (8CI);Methyl ketone (6CI);Dimethyl ketone;Dimethylformaldehyde;NSC 135802;Propanone;Pyroacetic ether;Taimax; Dimethylformaldehyde; NSC 135802; Propanone; Pyroacetic ether; Taimax; beta -Ketopropane;Acetone (8CI); Methyl ketone (6CI); Dimethyl ketone;Acetona (propanona)
67-66-3,"Metano, tricloro -",CHCl3,Cloroformo; Triclorometano;triclorometano;tricloruro de metilo; NSC 77361; R 20; R 20 (refrigerant); Trichloroform; Trichloromethane;Chloroform (8CI); F 20; HCC 20;Cloroformo (tricloroetano)
67-68-5,"Metano, 1,1 '-sulfinilbis -",C2H6OS,"metano, sulfinilbis-;  sulfóxido de metilo;  sulfóxido de dimetilo; dimetilformamida;Methane  sulfinylbis- (9CI);Methyl sulfoxide (8CI);DMS 70;DMS 90;DMSO;DMSO Evol;Demasorb;Demavet;Demeso;Demsodrox;Dimethyl sulfoxide;Dimethyl sulphoxide;Dimethylsulfoxide;Dimexide;Dimexidum;Dipirartril-tropico;Dolicur;Domoso;Dromisol;Durasorb;Gamasol 90;Herpid;Hyadur;Infiltrina;Kemsol;NSC 763;Rimso 50;SQ 9453;Sclerosol;Somipront;Sulfinylbismethane;Syntexan; DMS 90; DMSO; DMSO Evol; Demasorb; Demavet; Demeso; Demsodrox; Dimethyl sulfoxide; Dimethyl sulphoxide; Dimethylsulfoxide; Dimexide; Dimexidum; Dipirartril-tropico; Dolicur; Domoso; Dromisol; Durasorb; Gamasol 90; Herpid; Hyadur; Infiltrina;Kemsol;NSC 763;Rimso 50;SQ 9453;Sclerosol;Somipront;Sulfinylbismethane;Syntexan;Methane sulfinylbis- (9CI); Methyl sulfoxide (8CI); DMS 70;DIMETILSULFOXIDO"
67-71-0,"Metano, 1,1'-sulfonilbis-",C2 H6 O2 S,Nulo;Nulo
67-72-1,"Etano, 1,1,1,2,2,2-hexacloro -",C2Cl6,"Etano, hexacloro-; 1,1,1,2,2,2-Hexacloroetano; 1,2-dicloro-1 ,1,2,2-tetracloroetano; Hexacloretano; Avlothane; Distokal; Distopan; Distopin; Egitol; Ethane hexachloride; Falkitol; Fasciolin; Fron 110; Hexachlorethane; Hexachloroethane; Hexachloroethylene; Mottenhexe; NSC 9224; Perchloroethane; Phenohep;Ethane hexachloro- (8CI9CI); 111222-Hexachloroethane; 12-Dichloro-1122-tetrachloroethane;Hexacloro etano"
67-92-5,"Ácido [1,1 '-biciclohexil]-1-carboxílico, 2 - (dietilamino) etil éster, clorhidrato (1:1)",C19H35NO2.ClH,"[1,1 '-Biciclohexil]-1-carboxílico, 2 - (dietilamino) etilo, clorhidrato; [Biciclohexil]-1-carboxílico, 2 - (dietilamino) de clorhidrato de éster etílico;[1 1'-Bicyclohexyl]-1-carboxylic acid  2-(diethylamino)ethyl ester  hydrochloride (9CI);[Bicyclohexyl]-1-carboxylic acid  2-(diethylamino)ethyl ester hydrochloride (6CI 7CI 8CI);Atumin;Benacol;Bentomine;Bentyl hydrochloride;Di-Syntramine;Dicyclomine hydrochloride;Dicycloverin hydrochloride;Diocyl hydrochloride;Dyspas;Mamiesan;Merbentyl;Procyclomin;Wyovin hydrochloride; Benacol; Bentomine; Bentyl hydrochloride; Di-Syntramine; Dicyclomine hydrochloride; Dicycloverin hydrochloride; Diocyl hydrochloride; Dyspas; Mamiesan; Merbentyl; Procyclomin; Wyovin hydrochloride; beta -Diethylaminoethyl 1-cyclohexylcyclohexanecarboxylate hydrochloride;[11'-Bicyclohexyl]-1-carboxylic acid 2-(diethylamino)ethyl ester hydrochloride (9CI); [Bicyclohexyl]-1-carboxylic acid 2-(diethylamino)ethyl ester hydrochloride (6CI7CI8CI); Atumin;Clorhidrato de dimetilaminocaretoxibiciclohexil"
67-97-0,"Ciclohexanol, 3 - [(2e) -2 - [(1r, 3as, 7ar) -1 - [(1r) -1,5-dimetilhexil] octahidro-7a-metil-4h-inden-4-ilideno] etilideno] - 4-metilen-, (1s, 3z) -",C27H44O,"9,10-Secocholesta-5,7,10 (19)-trien-3-ol, (3.beta., 5Z, 7E); Colecalciferol ; 9,10-Secocholesta-5,7,10 (19)-trien-3.beta.-ol; Arachitol; Calciol; Calcirol; Colecalciferol; D3-Vigantol; Decristol; Delsterol; Deparal; Devaron; Dry Vitamin D3 100CWS/AM; Duphafral D3 1000; Ekostop D3; FeraCol; Granuvit D3; Lutavit D; Minisun; NSC 375571; Oleovit D3; Oleovitamin D3; Quintox; Ricketon;Riken D3 Oil 100;Riken D3 Oil 20;Trivitan;UVEDOSE;Vi-De3;Videkhol;Vigantoletten;Vigorsan;Vitamin D3;Vitinc Dan-Dee-3;910-Secocholesta-5710(19)-trien-3-ol (3beta 5Z7E)- (9CI); Cholecalciferol (8CI); 910-Secocholesta-5710(19)-trien-3beta -ol;VITAMINA D3 CRISTALINA"
6700-34-1,"Morfinan, 3-metoxi-17-metil-, bromhidrato, hidrato (1:1:1), (9?,13?,14?)-",C18 H25 N O . Br H . H2 O,(+)-3-Methoxy-N-methylmorphinan hydrobromide monohydrate;Dextromethorphan hydrobromide monohydrate;d-3-Methoxy-N-methylmorphinan hydrobromide monohydrate;Nulo
67028-40-4,"Ácido acético, 2-(4-metilfenoxi)-, etil éster",C11 H14 O3,Acetic acid  (4-methylphenoxy)-  ethyl ester (9CI);Acetic acid  p-tolyloxy-  ethyl ester (6CI);Ethyl 4-methylphenoxyacetate;p-Tolyloxyacetic acid ethyl ester;Nulo
6707-60-4,"1,6-dioxacicloheptadecan-7-ona",C15 H28 O3,12-Oxa-1 16-hexadecanolide;Cervolide;Musk 781;NSC 34741;Nulo
67151-63-7,"2-propanol, 1-[bis[3-(dimetilamino)propil]amino]-",C13 H31 N3 O,1-[Bis[3-(dimethylamino)propyl]amino]-2-propanol;Jeffcat ZR 50;N N-Bis(3-dimethylaminopropyl)isopropanolamine;PC CAT NP 15;Texacat ZR 50;ZR 50;Nulo
